,real_date,DOW,VIX,BTC,ETH,kospi,vkospi,gold,dol,DOW1,VIX1,BTC1,ETH1,kospi1,vkospi1,gold1,dol1,corona
20,2020-08-11,27686.91016,24.030001,11410.525391,380.384064,"2,418.67",22.98,"77,170","1,238.50",-0.003768295719978823,0.08236898248759587,-0.04016111281939994,-0.03994882733049512,0.013440228954957325,0.0017421607193848518,-0.01568558773111914,-0.0005085505209235466,1
21,2020-08-10,27791.43945,22.129999,11878.111328,395.887573,"2,386.38",22.94,"78,390","1,239.13",,,0.01718420087800784,0.012114687897692638,,,,,1
22,2020-08-09,,,11675.739258,391.120453,,,,,,,-0.006684391772887272,-0.007303266311928514,,,,,1
23,2020-08-08,,,11754.045898,393.987366,,,,,,,0.01306546990837464,0.03743039145888289,,,,,1
24,2020-08-07,27433.48047,22.209999,11601.472656,379.512848,"2,351.67",22.07,"79,430","1,238.82",0.0016964472882810527,-0.019617259047471566,-0.01525190211318231,-0.03990096715272492,0.0038600216643751408,0.0004532064432887015,0.000755667542256447,0.0015187258549746868,1
25,2020-08-06,27386.98047,22.65,11779.773438,394.961945,"2,342.61",22.06,"79,370","1,236.94",0.00679489832365267,-0.01489948684604718,0.002784144368510984,-0.016643683478923872,0.013213297062263797,0.021999053995367782,0.004672610635762576,-0.0040421372642415404,1
26,2020-08-05,27201.51953,22.99,11747.022461,401.590576,"2,311.86",21.58,"79,000","1,241.95",0.01380917362937652,-0.03294415571935415,,,0.01389011035842118,-0.03818645781402543,0.012995468912570146,-0.004619131382865835,1
27,2020-08-04,26828.4707,23.76,,,"2,279.97",22.42,"77,980","1,247.70",0.006134306166399179,-0.021649512883013793,,,0.012769953338280631,-0.04789770538641223,-0.012615649955038348,0.0008338812843891053,1
28,2020-08-03,26664.40039,24.280001,11246.348633,386.295166,"2,251.04",23.52,"78,970","1,246.66",,,0.017286053355948978,0.04128493146484291,,,,,1
29,2020-08-02,,,11053.614258,370.671722,,,,,,,-0.0619118570686592,-0.03844509474123654,,,,,1
30,2020-08-01,,,11759.592773,385.199707,,,,,,,0.037792033683904346,0.1086110917677236,,,,,1
31,2020-07-31,26428.32031,24.459999,11323.466797,345.554657,"2,249.37",23.57,"78,070","1,244.15",0.0043483434221533975,-0.012190358440444369,0.018922423401640655,0.03225497101789414,-0.007811605622665604,0.028401220482635638,-0.006129504569430608,-0.0026809667532577126,1
32,2020-07-30,26313.65039,24.76,11111.213867,334.586639,"2,267.01",22.91,"78,550","1,247.49",-0.008549007722241007,0.027017607319785947,0.000967607497046101,0.05024438022128188,0.00169971587242806,-0.01816658956793435,0.004082159004640891,0.0,1
33,2020-07-29,26539.57031,24.1,11100.467773,318.190887,"2,263.16",23.33,"78,230","1,247.49",0.006058011517548882,-0.05411093728348732,0.017048707155020423,0.004831495524816876,0.0027299995938325733,0.017730194186799563,-0.023622648377324244,-0.0033451270809438786,1
34,2020-07-28,26379.2793,25.440001,10912.823242,316.657257,"2,256.99",22.92,"80,100","1,251.67",-0.007759650767753816,0.027901410815754858,-0.007126663400675928,-0.01522141577824494,0.017489300157248856,-0.0017436796048268398,0.03351417998770749,0.0019192789404994502,1
35,2020-07-27,26584.76953,24.74,10990.873047,321.514099,"2,217.86",22.96,"77,460","1,249.27",,,0.1040086660153643,0.037619386180295936,,,,,1
36,2020-07-26,,,9905.166992,309.643616,,,,,,,0.02329289733146362,0.018207605975217044,,,,,1
37,2020-07-25,,,9677.113281,304.056763,,,,,,,0.014595935217313439,0.08523079145551815,,,,,1
38,2020-07-24,26469.89063,25.84,9536.892578,279.215424,"2,200.44",22.5,"73,940","1,256.48",-0.006868695052146444,-0.00924505814405105,-0.004621806453181266,0.016343860433019722,-0.007132164914833232,0.06899287148695142,0.01925368413316488,0.004338955250360733,1
39,2020-07-23,26652.33008,26.08,9581.072266,274.689056,"2,216.19",21.0,"72,530","1,251.04",-0.013176553552063605,0.06986967996048579,0.005831453253762458,0.0465678682883718,-0.0056110027183964,0.008608374536600101,0.01150952176974632,0.00258519062680616,1
40,2020-07-22,27005.83984,24.32,9525.363281,262.190643,"2,228.66",20.82,"71,700","1,247.81",0.006144903334887045,-0.021156199967311738,0.015923467438272828,0.06774541475444006,-7.627611058350786e-05,-0.012884931303860401,0.020145782401468356,-0.002505253936622261,1
41,2020-07-21,26840.40039,24.84,9374.887695,245.016724,"2,228.83",21.09,"70,270","1,250.94",0.005961432673831928,0.015416167689327012,0.022726572419775534,0.03684585798518032,0.01383794045808668,-0.05892178101135501,0.0002846569902512172,-0.004753103244771888,1
42,2020-07-20,26680.86914,24.459999,9164.231445,236.153168,"2,198.20",22.37,"70,250","1,256.90",,,-0.002352685615071302,-0.009836362074735058,,,,,1
43,2020-07-19,,,9185.817383,238.487518,,,,,,,0.002919331821611662,0.012674809781886842,,,,,1
44,2020-07-18,,,9159.040039,235.48381,,,,,,,0.0008353119344175305,0.011578060242863954,,,,,1
45,2020-07-17,26671.94922,25.68,9151.392578,232.773087,"2,201.19",22.34,"70,020","1,260.14",-0.0023503341607078437,-0.0864920313534435,0.0020964170001891713,-0.003721149259320538,0.007949961482180983,-0.04977020131884103,-0.003990883290099598,0.0010559956518337353,1
46,2020-07-16,26734.71094,28.0,9132.227539,233.640884,"2,183.76",23.48,"70,300","1,258.81",-0.00505137343072033,0.008608374536600101,-0.006614939463320026,-0.020263347861964365,-0.008263379168317386,-0.0063680962389207375,0.004276556767260172,0.0038762360742037494,1
47,2020-07-15,26870.09961,27.76,9192.836914,238.423523,"2,201.88",23.63,"70,000","1,253.94",0.008503072565613192,-0.061471864093667866,-0.005465061794630859,-0.0074711305245962764,0.008332070394414099,-0.03411312472206463,0.0,-0.004487737886071001,1
48,2020-07-14,26642.58984,29.52,9243.213867,240.211487,"2,183.61",24.45,"70,000","1,259.58",0.021119922290977172,-0.08658781451289622,-4.331635447191589e-05,0.0025297332054507447,-0.0011213662618603187,0.03411312472206463,0.0014295928095943715,0.004073130959385539,1
49,2020-07-13,26085.80078,32.189999,9243.614258,239.604584,"2,186.06",23.63,"69,900","1,254.46",,,-0.0035513578485719156,-0.010491790926765294,,,,,1
50,2020-07-12,,,9276.5,242.131699,,,,,,,0.0039049160545212005,0.0111030177503996,,,,,1
51,2020-07-11,,,9240.34668,239.458176,,,,,,,-0.004153644564932118,-0.006355857524058846,,,,,1
52,2020-07-10,26075.30078,27.290001,9278.807617,240.984985,"2,150.25",24.83,"69,710","1,258.01",0.014260613421520602,-0.06970102422827276,9.051615735211059e-05,-0.008392495665894223,-0.008174842602881526,0.0601716434761528,0.0,0.007083798378484224,1
53,2020-07-09,25706.08984,29.26,9277.967773,243.015961,"2,167.90",23.38,"69,710","1,249.13",-0.013952938578773206,0.04116381643436809,-0.016076772783232437,-0.014924339343223394,0.004169388351993308,-0.06859359018797542,0.007776536885814016,0.0005845775792792271,1
54,2020-07-08,26067.2793,28.08,9428.333008,246.670013,"2,158.88",25.04,"69,170","1,248.40",0.006817126907584344,-0.0469569830877711,0.0188495850474884,0.031271932360825226,-0.0024473474238674415,0.007616793689259939,0.0057996392807485204,-0.0004164464365922198,1
55,2020-07-07,25890.17969,29.43,9252.277344,239.075531,"2,164.17",24.85,"68,770","1,248.92",-0.015211900762783698,0.05195517262558566,-0.013227474961476225,-0.010132272166148088,-0.010918975236364325,0.03397093589080027,0.003495997734012384,0.00041644643659219214,1
56,2020-07-06,26287.0293,27.940001,9375.474609,241.510223,"2,187.93",24.02,"68,530","1,248.40",,,0.03269036399386731,0.05903832337425408,,,,,1
57,2020-07-05,,,9073.942383,227.664597,,,,,,,-0.006431364925998096,-0.006172104298718027,,,,,1
58,2020-07-04,,,9132.488281,229.074112,,,,,,,0.004959953730807189,0.016226349108833655,,,,,1
59,2020-07-03,,,9087.303711,225.38707,"2,152.41",24.78,"68,700","1,252.16",,,-0.003965412072986118,-0.0176139540202253,0.007948210825678637,-0.10232929175454322,0.0026235257723844106,-0.0011653059448279743,1
60,2020-07-02,25827.35938,27.68,9123.410156,229.392197,"2,135.37",27.45,"68,520","1,253.62",0.0035835765656084474,-0.03339567831943639,-0.011433924911550142,-0.0074753920714958795,0.013517191622953088,-0.08549231244110105,-0.009441569156574235,-0.0028357514621959517,1
61,2020-07-01,25734.9707,28.620001,9228.325195,231.113419,"2,106.70",29.9,"69,170","1,257.18",-0.003022830902455367,-0.06132315483997453,0.009836784665054553,0.020980738392700204,-0.0007734227662689274,-0.03838424300831534,0.007691787432786422,0.0014168705456403278,1
62,2020-06-30,25812.88086,30.43,9137.993164,226.315002,"2,108.33",31.07,"68,640","1,255.40",0.008445319479685872,-0.04340822866602071,-0.005768117620405738,-0.008272113920558266,0.007068411864637211,-0.07768792824443868,0.0020417099115272726,0.0025841868613836853,1
63,2020-06-29,25595.80078,31.780001,9190.854492,228.19487,"2,093.48",33.58,"68,500","1,252.16",,,0.005156696874163025,0.012557774954960488,,,,,1
64,2020-06-28,,,9143.582031,225.347168,,,,,,,0.010796911043829032,0.010650727184265431,,,,,1
