Date,AMZN,DPZ,GOOG,NFLX
2012-01-03,179.02999877929688,33.150001525878906,331.46258544921875,10.319999694824219
2012-01-04,177.50999450683594,33.81999969482422,332.8922424316406,11.492856979370117
2012-01-05,177.61000061035156,33.369998931884766,328.2745361328125,11.328571319580078
2012-01-06,182.61000061035156,33.29999923706055,323.79632568359375,12.327142715454102
2012-01-09,178.55999755859375,33.56999969482422,310.0677795410156,14.025713920593262
2012-01-10,179.33999633789062,34.02000045776367,310.4065246582031,13.6899995803833
2012-01-11,178.89999389648438,34.369998931884766,311.8112487792969,13.164285659790039
2012-01-12,175.92999267578125,34.08000183105469,313.6443786621094,13.164285659790039
2012-01-13,178.4199981689453,33.7599983215332,311.32806396484375,13.482856750488281
2012-01-17,181.66000366210938,32.2599983215332,313.1163635253906,13.531429290771484
2012-01-18,189.44000244140625,32.77000045776367,315.2732849121094,14.077142715454102
2012-01-19,194.4499969482422,32.400001525878906,318.5908508300781,14.779999732971191
2012-01-20,190.92999267578125,32.0,291.90087890625,14.319999694824219
2012-01-23,186.08999633789062,31.25,291.666748046875,13.422857284545898
2012-01-24,187.0,31.889999389648438,289.3803405761719,13.238571166992188
2012-01-25,187.8000030517578,32.439998626708984,283.68170166015625,13.577142715454102
2012-01-26,193.32000732421875,32.20000076293945,282.9892883300781,16.572856903076172
2012-01-27,195.3699951171875,32.310001373291016,288.9071044921875,17.68428611755371
2012-01-30,192.14999389648438,32.63999938964844,287.7663879394531,17.91857147216797
2012-01-31,194.44000244140625,32.650001525878906,288.97186279296875,17.171428680419922
2012-02-01,179.4600067138672,32.880001068115234,289.33050537109375,17.567142486572266
2012-02-02,181.72000122070312,32.93000030517578,291.4625244140625,17.71428680419922
2012-02-03,187.67999267578125,33.869998931884766,297.05157470703125,18.06142807006836
2012-02-06,183.13999938964844,33.279998779296875,303.4077453613281,18.46428680419922
2012-02-07,184.19000244140625,33.25,302.2520751953125,18.268571853637695
2012-02-08,185.47999572753906,33.22999954223633,303.7863464355469,17.71428680419922
2012-02-09,184.97999572753906,33.20000076293945,304.58831787109375,17.834285736083984
2012-02-10,185.5399932861328,32.459999084472656,301.8236999511719,17.704286575317383
2012-02-13,191.58999633789062,32.5099983215332,304.9569396972656,16.899999618530273
2012-02-14,191.3000030517578,32.72999954223633,303.74151611328125,17.58142852783203
2012-02-15,184.47000122070312,32.630001068115234,301.64935302734375,17.437143325805664
2012-02-16,179.92999267578125,33.06999969482422,302.1275634765625,17.415714263916016
2012-02-17,182.5,32.970001220703125,301.1910705566406,17.407142639160156
2012-02-21,182.25999450683594,33.52000045776367,305.85357666015625,16.77142906188965
2012-02-22,180.5800018310547,33.209999084472656,302.83489990234375,16.05714225769043
2012-02-23,178.88999938964844,33.47999954223633,301.9233093261719,16.141429901123047
2012-02-24,179.1300048828125,33.20000076293945,303.8112487792969,15.95285701751709
2012-02-27,178.52999877929688,33.540000915527344,303.517333984375,15.630000114440918
2012-02-28,183.8000030517578,38.81999969482422,308.0403747558594,16.18857192993164
2012-02-29,179.69000244140625,38.459999084472656,307.97064208984375,15.818571090698242
2012-03-01,180.0399932861328,38.400001525878906,310.03790283203125,16.10714340209961
2012-03-02,179.3000030517578,37.849998474121094,309.4650573730469,16.44285774230957
2012-03-05,180.25999450683594,38.529998779296875,305.9781188964844,15.829999923706055
2012-03-06,181.08999633789062,38.540000915527344,301.3504638671875,15.304286003112793
2012-03-07,183.77000427246094,39.47999954223633,302.26702880859375,15.027142524719238
2012-03-08,187.63999938964844,39.75,302.4364013671875,15.438570976257324
2012-03-09,184.32000732421875,39.83000183105469,299.0042724609375,15.59000015258789
2012-03-12,183.38999938964844,39.61000061035156,301.4450988769531,15.171428680419922
2012-03-13,184.58999633789062,40.11000061035156,307.7365417480469,15.192856788635254
2012-03-14,182.25999450683594,39.599998474121094,306.8448791503906,15.035714149475098
2012-03-15,184.42999267578125,40.09000015258789,309.4052734375,15.738571166992188
2012-03-16,185.0500030517578,39.959999084472656,311.35296630859375,15.708571434020996
2012-03-19,185.52000427246094,41.29999923706055,315.8062744140625,16.332857131958008
2012-03-20,192.3300018310547,40.13999938964844,315.56219482421875,16.431428909301758
2012-03-21,191.72999572753906,40.25,318.7950744628906,17.157142639160156
2012-03-22,192.39999389648438,36.689998626708984,321.8187561035156,16.961429595947266
2012-03-23,195.0399932861328,36.25,320.09521484375,17.170000076293945
2012-03-26,202.8699951171875,36.619998931884766,323.4526062011719,17.427143096923828
2012-03-27,205.44000244140625,35.970001220703125,322.30194091796875,17.238571166992188
2012-03-28,201.16000366210938,35.68000030517578,326.6556091308594,16.972856521606445
2012-03-29,204.61000061035156,36.310001373291016,322.99432373046875,16.435714721679688
2012-03-30,202.50999450683594,36.29999923706055,319.4227294921875,16.43428611755371
2012-04-02,198.0500030517578,36.97999954223633,322.2521057128906,16.281429290771484
2012-04-03,199.66000366210938,36.9900016784668,320.1101379394531,16.137142181396484
2012-04-04,193.99000549316406,36.22999954223633,316.38909912109375,15.751428604125977
2012-04-05,194.38999938964844,36.33000183105469,314.9793701171875,15.785714149475098
2012-04-09,191.8699951171875,35.40999984741211,314.2421569824219,15.239999771118164
2012-04-10,186.97999572753906,34.349998474121094,312.25958251953125,14.5600004196167
2012-04-11,187.97000122070312,35.5,316.7925720214844,14.258570671081543
2012-04-12,190.69000244140625,35.369998931884766,324.28948974609375,14.894286155700684
2012-04-13,188.4600067138672,35.4900016784668,311.1337890625,14.881428718566895
2012-04-16,185.5,35.689998626708984,301.90338134765625,14.449999809265137
